ticket_id,product,feature,issue_description,resolution_status
71545524,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Resolved
63697117,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Escalated
66954677,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Unresolved
37803019,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Resolved
42854170,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Resolved
86448307,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Unresolved
74671422,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Unresolved
57656710,Laptop,Display,The laptop display is not delivering the expected visual quality.,Escalated
76968396,Smartphone,Performance,The phone is running slowly and freezing frequently.,Escalated
44357113,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Unresolved
79408175,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Unresolved
70152216,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Resolved
19983757,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Resolved
42232853,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
63298183,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Escalated
55258433,Wireless Earbuds,Connectivity,The earbuds Bluetooth connectivity is unreliable causing disruptions.,Resolved
30892825,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Unresolved
42453602,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Escalated
37976447,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Escalated
31931289,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
74560124,Laptop,Battery,The laptop battery life is significantly shorter than advertised.,Escalated
22610321,Laptop,Display,The laptop display is not delivering the expected visual quality.,Unresolved
38417609,Laptop,RAM,The laptop RAM is maxed out leading to poor multitasking performance.,Resolved
37550870,Laptop,Display,The laptop display is flickering and causing eye strain.,Escalated
31822740,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Unresolved
97150595,Smartphone,Connectivity,The phone is having trouble maintaining a stable internet connection.,Unresolved
86466934,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Escalated
96200834,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Unresolved
82012736,Smartphone,Battery,The battery is not holding a charge for long enough.,Unresolved
65983274,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Unresolved
38211660,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Escalated
13445663,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Unresolved
94315318,Smartphone,Performance,The phone is running slowly and freezing frequently.,Escalated
30228904,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Unresolved
55144589,Wireless Earbuds,Battery Life,The earbuds battery drains quickly even with moderate use.,Unresolved
22605006,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Escalated
73145374,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
84399576,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Unresolved
77446298,Desktop Computer,Graphics,The computer graphics performance is poor affecting gaming and multimedia.,Unresolved
17138577,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Resolved
23505358,Smartphone,Connectivity,The phone is experiencing frequent drops in cellular connectivity.,Escalated
13858636,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Resolved
56317265,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Unresolved
73396952,Smartphone,Camera,The camera is producing blurry and grainy images.,Resolved
44036144,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Unresolved
68478136,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Unresolved
26418371,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Escalated
97314427,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Resolved
75359336,Smartphone,Connectivity,The phone is unable to connect to the wifi network.,Unresolved
38550162,Smartphone,Battery,The battery life is significantly shorter than expected.,Escalated
42155641,Gaming Console,Controller,The controller is experiencing connectivity issues.,Unresolved
98844644,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Escalated
13790279,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Resolved
80578289,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Resolved
66199861,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Escalated
68601447,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Unresolved
58016501,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Escalated
19946697,Smartphone,Connectivity,The phone is unable to connect to the wifi network.,Escalated
65403414,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Escalated
83325278,Laptop,Storage,The laptop storage is running low causing issues with file management.,Unresolved
44593456,Desktop Computer,RAM,The computer is experiencing frequent crashes and freezes due to insufficient RAM.,Escalated
97084581,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Escalated
76378511,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Unresolved
46152993,Laptop,Battery,The laptop battery is not lasting as long as expected.,Resolved
51899621,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
99559543,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Resolved
34679730,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Unresolved
80916437,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Resolved
56319414,Smartphone,Camera,The camera is producing blurry and grainy images.,Unresolved
85427863,Smartwatch,Connectivity,The watch Bluetooth connectivity is unreliable causing connection problems.,Resolved
59581305,Desktop Computer,Graphics,The computer is unable to handle graphics-intensive applications effectively.,Escalated
87214545,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Escalated
76824181,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Escalated
86156090,Smartwatch,Battery Life,The watch battery is not lasting as long as expected between charges.,Escalated
25823980,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Resolved
94358468,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Resolved
73380663,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Resolved
27530516,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Resolved
22558724,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Resolved
86088675,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Escalated
10037034,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Resolved
49891870,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Unresolved
90936469,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
16260453,Desktop Computer,Graphics,The computer graphics performance is poor affecting gaming and multimedia.,Resolved
70268389,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Unresolved
77887124,Laptop,Battery,The laptop battery life is significantly shorter than advertised.,Escalated
21891339,Smartwatch,Battery Life,The watch battery is not lasting as long as expected between charges.,Unresolved
34838576,Gaming Console,Online Services,The online services are frequently experiencing server outages.,Resolved
36648740,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Resolved
71398422,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Escalated
21349464,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Resolved
39739262,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Resolved
35424814,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Resolved
28018918,Smartphone,Camera,The camera is producing blurry and grainy images.,Escalated
90459268,Gaming Console,Controller,The controller is not registering inputs properly.,Resolved
62171706,Desktop Computer,Processor,The computer processor is not keeping up with the user workload.,Unresolved
16614989,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Resolved
25549917,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Escalated
24721468,Gaming Console,Performance,The console is struggling to maintain a consistent frame rate.,Unresolved
17133720,Gaming Console,Controller,The controller is not registering inputs properly.,Unresolved
94035036,Smartphone,Battery,The battery is draining too quickly.,Unresolved
18897497,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
30685070,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Escalated
58589301,Gaming Console,Controller,The controller is experiencing connectivity issues.,Resolved
58511446,Wireless Headphones,Audio Quality,The audio quality is distorted especially at higher volumes.,Unresolved
71210002,Desktop Computer,Connectivity,The computer is experiencing frequent connectivity issues with external devices.,Escalated
52698045,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Unresolved
25266240,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Escalated
88276238,Desktop Computer,Graphics,The computer graphics capabilities are not meeting the user expectations.,Unresolved
26801934,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Unresolved
35765032,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Unresolved
57621702,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Unresolved
75413351,Laptop,Battery,The laptop battery is not lasting as long as expected.,Escalated
49616145,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Escalated
65619122,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Unresolved
11081836,Smartphone,Battery,The battery is draining too quickly.,Unresolved
72182299,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Escalated
26471516,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Unresolved
11608595,Wireless Headphones,Controls,The headphones controls are not functioning as expected.,Escalated
72878489,Portable Speaker,Battery Life,The speaker battery life is significantly shorter than advertised.,Resolved
81055251,Laptop,Display,The laptop display is flickering and causing eye strain.,Resolved
71867768,Gaming Console,Controller,The controller is experiencing connectivity issues.,Unresolved
37381241,Desktop Computer,Processor,The computer performance is sluggish especially with multitasking.,Unresolved
90995269,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Unresolved
99024540,Portable Speaker,Durability,The speaker build quality is not up to par affecting its lifespan.,Resolved
14093205,Wireless Headphones,Battery Life,The headphones run out of battery too quickly.,Escalated
26360308,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
92652368,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Escalated
99144892,Wireless Earbuds,Audio Quality,The audio quality of the earbuds is poor with frequent static and distortion.,Resolved
60065571,Portable Speaker,Audio Quality,The speaker is producing distorted and muffled audio.,Unresolved
97151561,Gaming Console,Controller,The controller is not registering inputs properly.,Escalated
89743217,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Escalated
59302116,Desktop Computer,Storage,The computer storage is full preventing the user from saving new files.,Unresolved
63763471,Portable Speaker,Durability,The speaker is not as durable as expected compromising its usability.,Resolved
79902094,Wireless Headphones,Controls,The touch controls on the headphones are unresponsive.,Resolved
58646877,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Resolved
11753339,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Resolved
13071387,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Unresolved
84452863,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Resolved
36859040,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Unresolved
56436795,Gaming Console,Online Services,The online multiplayer services are unreliable and laggy.,Unresolved
30774290,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Unresolved
82832359,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
93293222,Desktop Computer,Graphics,The computer graphics performance is poor affecting gaming and multimedia.,Unresolved
74090208,Smartwatch,Connectivity,The watch is experiencing frequent disconnection issues with the user device.,Resolved
22576894,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Resolved
81548958,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Escalated
69611231,Portable Speaker,Durability,The speaker is not as durable as expected compromising its usability.,Unresolved
11014354,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Escalated
22430620,Smartwatch,Fitness Tracking,The watch is not accurately tracking the user fitness activities.,Unresolved
23293621,Smartwatch,Battery Life,The watch battery is draining too fast even with moderate use.,Escalated
92104390,Desktop Computer,Storage,The computer storage is filling up quickly leaving little space for new data.,Unresolved
72057323,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Resolved
77449552,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Escalated
71166325,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Escalated
27807760,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Unresolved
13524185,Wireless Headphones,Audio Quality,The audio quality is not meeting the user expectations.,Unresolved
91395857,Smartphone,Connectivity,The phone is having trouble maintaining a stable internet connection.,Resolved
88438755,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Resolved
54549236,Smartphone,Display,The display is showing distorted colors.,Escalated
50218713,Smartphone,Camera,The camera is not capturing clear photos.,Unresolved
33092278,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
97299808,Smartphone,Performance,The phone performance is noticeably slower than when it was new.,Escalated
69838838,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Resolved
83712953,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Escalated
37785793,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Escalated
84523098,Desktop Computer,RAM,The computer RAM is maxed out leading to poor overall performance.,Escalated
87259416,Smartwatch,Connectivity,The watch is unable to connect to the user smartphone.,Unresolved
73668971,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Resolved
39565858,Desktop Computer,Connectivity,The computer networking capabilities are not functioning as expected.,Unresolved
52381986,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Unresolved
79130933,Laptop,RAM,The laptop RAM is maxed out leading to poor multitasking performance.,Escalated
95873344,Desktop Computer,Storage,The computer storage is running low causing issues with file management.,Resolved
69736716,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Unresolved
30775363,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
43562421,Wireless Earbuds,Controls,The earbuds controls are not functioning as expected frustrating the user.,Escalated
92878962,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
67072142,Smartphone,Camera,The camera is struggling to focus properly.,Unresolved
29313276,Wireless Earbuds,Audio Quality,The earbuds are unable to provide the expected level of audio clarity and fidelity.,Unresolved
13584452,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Unresolved
48217479,Laptop,Storage,The laptop storage is full preventing the user from saving new files.,Unresolved
42393225,Smartphone,Display,The display is not responsive to touch inputs.,Unresolved
32766938,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Unresolved
28081477,Smartphone,Battery,The battery is draining too quickly.,Unresolved
67448618,Wireless Headphones,Audio Quality,The audio quality is muffled and lacks clarity.,Resolved
31107256,Wireless Headphones,Connectivity,The headphones Bluetooth connectivity is unreliable.,Unresolved
42275550,Gaming Console,Game Library,The user is disappointed by the lack of new game releases.,Unresolved
89978938,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Escalated
84432907,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Resolved
47638669,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Resolved
35054099,Smartphone,Battery,The battery life is significantly shorter than expected.,Escalated
74154019,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Unresolved
11586561,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Unresolved
73234268,Desktop Computer,RAM,The computer RAM is maxed out leading to poor overall performance.,Escalated
14895505,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Resolved
29923521,Smartphone,Display,The display is showing distorted colors.,Escalated
79920807,Portable Speaker,Audio Quality,The speaker sound quality is not meeting the user expectations.,Escalated
92656468,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
15711621,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Unresolved
19614708,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Resolved
54341034,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Escalated
33595305,Gaming Console,Game Library,The game library is limited and the user wants more game options.,Resolved
60345769,Smartphone,Display,The display is flickering and causing eye strain.,Unresolved
56183672,Wireless Headphones,Battery Life,The headphones battery drains rapidly even with moderate use.,Resolved
33471699,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Escalated
45154363,Gaming Console,Controller,The controller is experiencing connectivity issues.,Escalated
33311609,Smartwatch,Smart Features,The watch smart features are not delivering the intended user experience.,Escalated
78159486,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Resolved
91312671,Portable Speaker,Durability,The speaker is not withstanding the elements and is getting damaged.,Resolved
84138556,Wireless Headphones,Controls,The headphones controls are difficult to use and navigate.,Escalated
85168656,Wireless Earbuds,Connectivity,The earbuds keep disconnecting from the user device.,Unresolved
91173177,Laptop,Display,The laptop display is not delivering the expected visual quality.,Resolved
35204202,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Escalated
29103690,Portable Speaker,Battery Life,The speaker battery is not lasting as long as expected.,Unresolved
40195135,Laptop,Display,The laptop display is not delivering the expected visual quality.,Unresolved
83322788,Portable Speaker,Connectivity,The speaker is unable to connect to the user device.,Escalated
85566071,Wireless Headphones,Battery Life,The headphones run out of battery too quickly.,Unresolved
61826585,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Resolved
55329033,Wireless Earbuds,Audio Quality,The audio quality of the earbuds is poor with frequent static and distortion.,Unresolved
77249984,Portable Speaker,Battery Life,The speaker battery drains quickly even with minimal use.,Resolved
62369405,Desktop Computer,Processor,The computer is struggling to handle intensive tasks like video editing.,Unresolved
79266522,Desktop Computer,Graphics,The computer graphics performance is poor affecting gaming and multimedia.,Resolved
47901228,Laptop,Storage,The laptop storage is running low causing issues with file management.,Unresolved
66275248,Smartphone,Display,The display is showing distorted colors.,Escalated
83933326,Wireless Headphones,Battery Life,The headphones run out of battery too quickly.,Resolved
54425232,Wireless Headphones,Connectivity,The headphones keep disconnecting from the device.,Escalated
14432409,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
25829375,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Unresolved
76503547,Portable Speaker,Connectivity,The speaker Bluetooth connectivity is unreliable.,Resolved
56634380,Laptop,Display,The laptop display is showing signs of discoloration and image distortion.,Resolved
42854972,Wireless Earbuds,Controls,The touch controls on the earbuds are unresponsive and difficult to use.,Escalated
85192985,Laptop,Display,The laptop display is not delivering the expected visual quality.,Resolved
67876973,Wireless Headphones,Battery Life,The headphones battery life is significantly shorter than advertised.,Unresolved
28638403,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Unresolved
50295919,Smartwatch,Smart Features,The watch smart features such as notifications are not working properly.,Resolved
91701591,Laptop,RAM,The laptop is running out of memory causing programs to crash.,Escalated
36180474,Gaming Console,Performance,The console is experiencing frequent game crashes and slowdowns.,Resolved
72615177,Smartphone,Battery,The battery is draining too quickly.,Escalated
24965624,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Resolved
37942106,Smartphone,Performance,The phone is running slowly and freezing frequently.,Escalated
37519897,Desktop Computer,RAM,The computer is running out of memory causing programs to freeze.,Escalated
63475027,Wireless Earbuds,Audio Quality,The user is dissatisfied with the sound quality delivered by the earbuds.,Escalated
62200097,Wireless Earbuds,Battery Life,The earbuds battery life is significantly shorter than advertised.,Resolved
97589500,Smartwatch,Fitness Tracking,The watch fitness tracking features are not providing reliable data.,Escalated
39221411,Laptop,Processor,The laptop processor is not keeping up with the user workload.,Unresolved
38773129,Laptop,Battery,The laptop battery is not lasting as long as expected.,Unresolved
88447472,Wireless Earbuds,Connectivity,The earbuds Bluetooth connectivity is unreliable causing disruptions.,Resolved
44064234,Smartwatch,Smart Features,The user is unable to fully utilize the watch smart capabilities as expected.,Resolved
25836583,Laptop,Display,The laptop display is not delivering the expected visual quality.,Escalated
78064904,Smartwatch,Fitness Tracking,The user is dissatisfied with the watch ability to monitor their fitness.,Escalated
46813800,Gaming Console,Controller,The controller is not registering inputs properly.,Escalated
33064792,Laptop,RAM,The laptop is experiencing frequent freezes and slowdowns due to insufficient RAM.,Unresolved
85464374,Gaming Console,Controller,The controller buttons and joysticks feel unresponsive.,Resolved
71675234,Laptop,Storage,The laptop storage is running low causing issues with file management.,Unresolved
92110679,Laptop,Processor,The laptop performance is sluggish especially with intensive tasks.,Escalated
80235534,Laptop,Processor,The laptop is struggling to run multiple applications simultaneously.,Resolved
21383236,Laptop,Battery,The laptop battery is draining quickly even with light usage.,Unresolved
24829565,Smartwatch,Battery Life,The watch battery life is significantly shorter than advertised.,Resolved
93239304,Wireless Earbuds,Battery Life,The earbuds battery life is short requiring frequent charging.,Escalated
65609799,Wireless Earbuds,Controls,The user is unable to effectively control the earbuds features due to issues with the controls.,Escalated
48748811,Wireless Headphones,Audio Quality,The audio quality is muffled and lacks clarity.,Unresolved
79578644,Smartphone,Performance,The phone is lagging and crashing when running multiple apps.,Escalated
82139174,Wireless Headphones,Connectivity,The headphones are experiencing frequent connection issues.,Resolved
17586503,Gaming Console,Performance,The console performance is noticeably inferior to the latest models.,Escalated
